time,t2m_c_anom,tcc_anom,ssr_anom,str_nlw_anom,tisr_anom,tsr_anom,ttr_anom,number_anom,t2m_c_max_anom,t2m_c_min_anom,net_rad_anom,reflected_solar_anom
2024-03-21,0.4802,0.0104,-0.7629,0.8808,1.0826,-0.1964,0.7597,0.0,0.2469,0.6685,0.118,1.279
2024-03-22,0.7017,-0.0627,0.2952,0.612,1.2648,0.9811,-0.6704,0.0,0.6743,0.858,0.9073,0.2837
2024-03-23,0.9234,-0.0076,0.3528,0.5181,1.4438,0.9778,-0.1778,0.0,0.9172,0.8149,0.8709,0.466
2024-03-24,1.0395,0.0373,0.8516,0.0864,1.6198,1.3529,0.1098,0.0,1.1425,1.1051,0.938,0.2669
2024-03-25,1.2871,0.0006,1.548,0.1052,1.7927,2.1369,-0.1831,0.0,1.2507,1.3017,1.6532,-0.3442
2024-03-26,1.4043,0.0647,0.842,0.3971,1.9625,1.5862,0.8368,0.0,1.3713,1.4611,1.2391,0.3763
2024-03-27,1.6664,0.0812,0.6559,0.6518,2.1293,1.4837,0.9855,0.0,1.6161,1.7303,1.3077,0.6456
2024-03-28,1.8572,0.0705,0.7972,0.53,2.293,1.7337,0.7161,0.0,1.8753,1.8245,1.3271,0.5593
2024-03-29,2.146,0.0077,0.7564,0.7567,2.4538,1.8662,-0.0609,0.0,2.0194,2.2429,1.513,0.5876
2024-03-30,2.0845,0.0241,0.4618,0.7842,2.6116,1.575,0.0448,0.0,1.8716,2.3612,1.246,1.0366
2024-03-31,1.8724,0.0146,1.321,0.3299,2.7664,2.4154,-0.0222,0.0,1.6671,2.1785,1.6509,0.351
2024-04-01,-0.9013,-0.0839,0.6411,-0.8034,-1.8101,-0.161,-0.9286,0.0,-0.7025,-1.0916,-0.1623,-1.6491
2024-04-02,-0.7208,-0.0568,0.4017,-0.6488,-1.661,-0.3076,-0.9744,0.0,-0.6038,-0.969,-0.2471,-1.3534
2024-04-03,-0.6458,0.0312,-0.1148,-0.1788,-1.5148,-0.6171,-0.4926,0.0,-0.6,-0.7999,-0.2936,-0.8977
2024-04-04,-0.5532,0.0459,-0.3431,-0.1656,-1.3713,-0.8069,0.0115,0.0,-0.5588,-0.5883,-0.5086,-0.5644
2024-04-05,-0.4355,0.0222,-0.1013,-0.4109,-1.2306,-0.5594,-0.2864,0.0,-0.3594,-0.5796,-0.5122,-0.6712
2024-04-06,-0.3304,-0.0725,0.8122,-0.9077,-1.0926,0.1237,-1.4483,0.0,-0.2231,-0.3737,-0.0955,-1.2162
2024-04-07,-0.505,-0.0711,0.4739,-0.9813,-0.9573,-0.2905,-1.605,0.0,-0.4418,-0.5771,-0.5074,-0.6667
2024-04-08,-0.5781,-0.0028,0.6992,-0.9468,-0.8246,-0.0009,-1.2558,0.0,-0.3662,-0.798,-0.2475,-0.8237
2024-04-09,-0.5213,0.0153,0.4355,-0.9084,-0.6946,-0.2081,0.3747,0.0,-0.3809,-0.7827,-0.4729,-0.4865
2024-04-10,-0.5883,0.0491,-0.607,-0.5314,-0.5671,-0.9832,1.6538,0.0,-0.5234,-0.6096,-1.1384,0.4161
2024-04-11,-0.7144,0.0016,-0.6096,-0.0453,-0.4422,-0.7976,0.9985,0.0,-0.7453,-0.8268,-0.6549,0.3554
2024-04-12,-0.772,0.0502,-1.4321,0.6145,-0.3198,-1.38,1.4551,0.0,-0.859,-0.6218,-0.8175,1.0602
2024-04-13,-0.8334,0.0769,-1.7899,0.8423,-0.1999,-1.6945,2.0131,0.0,-0.8632,-0.7216,-0.9476,1.4946
2024-04-14,-0.4468,0.0464,-1.3378,1.2456,-0.0824,-1.0074,1.7913,0.0,-0.5199,-0.4599,-0.0922,0.925
2024-04-15,0.2311,0.0297,-0.6012,1.0255,0.0327,-0.2765,0.8226,0.0,0.2375,0.1922,0.4242,0.3092
2024-04-16,0.2669,0.04,-0.0715,0.6038,0.1454,0.1761,0.5705,0.0,0.335,0.1651,0.5323,-0.0307
2024-04-17,0.2591,0.0716,-0.618,0.5949,0.2557,-0.2957,0.5816,0.0,0.1449,0.3048,-0.0231,0.5514
2024-04-18,0.4951,-0.0218,0.0199,0.6617,0.3637,0.3382,-0.726,0.0,0.5022,0.4658,0.6816,0.0255
2024-04-19,0.4117,-0.0297,-0.4719,0.9217,0.4693,-0.018,-0.7378,0.0,0.2551,0.8214,0.4499,0.4874
2024-04-20,0.3086,0.0479,-0.3952,0.5544,0.5728,-0.1064,0.0127,0.0,0.1207,0.7129,0.1591,0.6792
2024-04-21,0.476,0.0473,0.1696,0.4017,0.6739,0.5343,0.1744,0.0,0.3695,0.651,0.5713,0.1396
2024-04-22,0.3438,-0.0054,-0.296,0.2584,0.7728,0.0196,0.3164,0.0,0.228,0.6188,-0.0377,0.7532
2024-04-23,0.4499,-0.0568,0.9844,-0.0896,0.8694,1.2929,-0.4456,0.0,0.4438,0.5443,0.8948,-0.4235
2024-04-24,0.517,-0.0702,0.8042,-0.2923,0.9639,1.1498,-0.696,0.0,0.5395,0.3656,0.5119,-0.1858
2024-04-25,0.7169,-0.0441,0.976,-0.275,1.0563,1.3054,-0.657,0.0,0.7887,0.4912,0.7009,-0.2491
2024-04-26,0.6324,-0.0192,0.0268,0.0278,1.1464,0.4186,-0.1216,0.0,0.6639,0.6632,0.0545,0.7279
2024-04-27,0.7473,-0.0015,0.1993,0.2899,1.2345,0.7598,0.5857,0.0,0.6853,0.6859,0.4892,0.4747
2024-04-28,0.9181,0.0116,0.9193,0.0204,1.3205,1.4608,-0.1986,0.0,0.8319,1.0035,0.9397,-0.1403
2024-04-29,0.9079,-0.0221,0.3024,-0.1183,1.4044,0.7932,-0.3981,0.0,0.7859,1.088,0.1841,0.6112
2024-04-30,0.8641,-0.029,0.9238,-0.7588,1.4863,1.1383,-0.3902,0.0,0.8152,1.0259,0.165,0.348
2024-05-01,-1.0517,-0.1257,3.881,-2.4333,-0.9079,2.6507,-3.7145,0.0,-0.9583,-1.2425,1.4477,-3.5587
2024-05-02,-1.3783,-0.0855,3.6597,-2.6051,-0.8301,2.3709,-3.0478,0.0,-1.1167,-1.6618,1.0546,-3.2009
2024-05-03,-1.1171,-0.0918,2.6638,-1.8679,-0.7542,1.5873,-2.449,0.0,-0.781,-1.8284,0.7959,-2.3414
2024-05-04,-0.5796,-0.043,2.9906,-1.2116,-0.6802,2.2771,-2.4242,0.0,-0.3874,-1.1055,1.779,-2.9573
2024-05-05,-0.4603,-0.1479,2.772,-0.929,-0.6082,2.3223,-3.5137,0.0,-0.3863,-0.6219,1.843,-2.9305
2024-05-06,-0.4775,-0.1772,2.8805,-0.8307,-0.5381,2.4507,-3.6096,0.0,-0.3785,-0.5949,2.0498,-2.9888
2024-05-07,-0.6934,-0.1227,2.3953,-0.6606,-0.4698,2.0657,-2.9748,0.0,-0.6572,-0.7274,1.7347,-2.5355
2024-05-08,-0.6907,-0.1026,2.2281,-0.4351,-0.4034,2.0167,-2.554,0.0,-0.5589,-0.9708,1.793,-2.4201
